codigo;populacao;densidade_pop;idh;pib
3514304;8868;41.82;0.738;78615.59
3514403;46536;88.64;0.776;24326.29
3514502;12457;46.31;0.748;17142.2
3514601;9708;73.13;0.744;25206.39
3514700;6141;12.26;0.745;20518.61
3514809;15443;8.85;0.691;14561.67
3514908;17604;77.83;0.695;34474.83
3514924;3604;33.2;0.747;17926.03
3514957;2456;29.15;0.73;19309.05
3515004;270843;3412.89;0.735;37832.19
3515103;68856;403.32;0.749;15691.8
3515129;3202;13.45;0.727;18741.24
3515152;20284;142.99;0.732;23074.63
3515186;44186;107.61;0.787;30140.43
3515194;4779;21.92;0.696;15358.13
3515202;8418;27.69;0.76;68319.5
3515301;2762;10.09;0.74;30148.17
3515350;9419;16.66;0.704;11689.99
3515400;16001;35.7;0.732;22290.2
3515509;68823;117.62;0.797;28882.59
3515608;5771;32.43;0.758;28412.16
3515657;1704;15.51;0.703;28885.48
3515707;191993;5692.55;0.738;15304.53
3515806;1499;7.78;0.727;22168.4
3515905;2934;14.7;0.747;18394.68
3516002;14486;24.47;0.715;13293.3
3516101;2699;12.54;0.713;43838.84
3516200;350400;526.09;0.78;28108.23
3516309;174008;3147.8;0.703;8074.58
3516408;152433;980.95;0.731;16661.58
3516507;2776;19.55;0.763;21292.45
3516606;6615;19.69;0.709;17968.98
3516705;44370;77.6;0.769;24487.27
3516804;4754;23.17;0.723;12848.93
3516853;4762;18.13;0.719;182468
3516903;10876;21.63;0.747;48234.52
3517000;11370;15.86;0.717;15019.6
3517109;4801;16.69;0.735;21302.04
3517208;12039;39.35;0.739;15901.94
3517307;5743;24.88;0.728;12751.97
3517406;40533;29.72;0.753;95399.47
3517505;21125;55;0.725;24986.51
3517604;17293;44.08;0.675;29812.01
3517703;21129;54.78;0.718;19333.63
3517802;8357;14.8;0.719;30594.94
3517901;11088;15.55;0.737;29937.88
3518008;2002;23.03;0.732;15180.46
3518107;6654;13.89;0.713;22115.08
3518206;32774;31.99;0.763;38069.46
3518305;29451;95.43;0.731;49785.35
3518404;121073;148.91;0.798;35347.7
3518503;18143;25.72;0.687;13307.71
3518602;39714;131.29;0.719;30226.8
3518701;318107;2026.8;0.751;25224.38
3518800;1365899;3834.51;0.763;40367.54
3518859;7602;16.84;0.743;27492.67
3518909;5226;18.86;0.697;12581.98
3519006;9462;23.85;0.727;28896.01
3519055;14579;172.3;0.793;66380.04
3519071;227353;3094.16;0.756;52570.87
3519105;11559;18.29;0.745;56215.83
3519204;6348;19.9;0.733;23150.97
3519253;8956;15.89;0.674;16389.78
3519303;34726;105.74;0.703;22849.38
3519402;12264;40.07;0.74;18450.48
3519501;7663;29.45;0.708;47003.22
3519600;59451;77.12;0.747;23270.16
3519709;78262;67.31;0.71;20750.45
3519808;8181;20.58;0.72;50308.27
3519907;8124;12.81;0.736;30175.51
3520004;24598;239.07;0.727;11474.74
3520103;30246;59.7;0.768;36465.62
3520202;9483;30.14;0.711;18916.28
3520301;30721;14.58;0.726;20333.94
3520400;34333;81.13;0.756;91873.77
3520426;10965;47.01;0.725;52999.97
3520442;26582;38.42;0.812;21499.82
3520509;246908;646.11;0.788;49861.28
3520608;4892;38.11;0.761;12159.98
3520707;3908;13.96;0.751;18324.5
3520806;3963;41.53;0.759;31752.98
3520905;14869;65.17;0.727;25058.43
3521002;36280;166.2;0.719;13953.02
3521101;7401;31.66;0.753;93626.98
3521150;5306;32.89;0.73;16786.9
3521200;4238;3.73;0.703;10155.91
3521309;16209;30.37;0.749;22446.38
3521408;23846;173.99;0.776;50771.27
3521507;7937;28.21;0.713;18630.64
3521606;8261;36.24;0.712;10225.93
3521705;17635;16.08;0.693;32218.56
3521804;26861;22.17;0.713;29331.5
3521903;15226;28.99;0.73;36847.73
3522000;3782;14.12;0.705;25664.53
3522109;100496;144.69;0.745;16454.23
3522158;3326;17.64;0.68;10752.82
3522208;173672;1011.57;0.742;22786.72
3522307;162231;80.65;0.763;29339.86
3522406;93892;48.05;0.732;25871.65
3522505;234352;2428.88;0.735;53634.91
3522604;74299;132.21;0.762;46737.42
3522653;4213;9.55;0.661;8082.46
3522703;42903;40.18;0.744;27691.66
3522802;15125;28.66;0.719;18522.5
3522901;13833;86.46;0.725;45293.19
3523008;4860;14.46;0.72;20925.19
3523107;366519;3895.24;0.714;18240.37
3523206;50360;47.76;0.703;18374.14
3523305;17271;56.53;0.677;13696.27
3523404;119090;314.9;0.778;44580.54
3523503;20467;18.42;0.706;13308.85
